Др. Айрен Сланинкова, Колчоview
Sig. Pier Trillini, Vinchiana
Mauro Romiti, La Saxe
Flavia Barillaro-Cociarelli, Marmentino
田中 晃, 安房郡鋸南町
中川 里佳, 香取郡神崎町
池田 太一, 港区
吉田 千代, 横浜市神奈川区
福田 涼平, 横浜市磯子区
伊藤 涼平, 国分寺市
小川 智也, 神津島村
前田 裕樹, 横浜市金沢区
高橋 美加子, 府中市
斎藤 花子, 鎌ケ谷市
김민석, 제천시
최영환, 연천군
박서영, 안양시 만안구
박민석, 홍성군
이주원, 부천시 소사구
이순자, 고양시 일산서구
최지연, 괴산군
이성진, 파주시
문지우, 태안군
권은영, 단양군
Andris Dzenis, Port Uldis
Dārta Siliņa, Balodiston
Caune, Elvis, Port Ernaborough
Purmale, Evija, New Imantsside
Eda Liepiņš, South Raimonds
Gaida Puriņš, Krievaberg
Viktors Siliņa, Zeltiņaport
Maija Kalniņš, South Oskars
Bite, Ainārs, Ausmafort
Elza Riekstiņa, Santaville
दिपकस्वर तुलाधर, रामग्राम
मनोज सुवेदी, प्युठान
राजिव अधिकारी, बुटवल
कीर्ति डंगोल, दशरथचन्द
निरज श्रेष्‍ठ, तिलोत्तमा
श्रीमती सानु थापा, सैनामैना
दुर्गा श्रेष्‍ठ, अछाम
महेश ढङ्गेल, रामग्राम
कमला खनाल, किर्तिपुर
श्रीमती इन्दिरा लामा, दिक्तेल
Jason Coret-Coredo, Heerjansdam
Lucas Meyer-Haring, Persingen
Niels Zuijdveld, Opende
Meike Dubois, Ansen
Hanna van Jumiège, Deil
Aaliyah Mangel, Leermens
Nisa Bolkesteijn, Kuitaart
Veerle Alpaidis, Sebaldeburen
Veerle van de Wiel, Teteringen
Luka Heinrichs, Breezanddijk
Roy-Vidar Bakken, Thomassen
Hans Rasmussen, Svendsen
Frode Nielsen, Jørgensen
Svein Mikkelsen, Linnsand
Andreas Eliassen, Mikkelsen
Frode Haug-Moe, Henriksen
Sigurd Aasen-Lie, Egilhelle
Sissel Edvardsen, Fredrikvær
Helene Halvorsen, Aas
Gunn Thomassen, Hanssen
Mikołaj Kroczak, Płock
Jerzy Golisz, Legnica
Witold Bicz, Kętrzyn
Maks Żyto, Legionowo
Marek Legutko, Łaziska Górne
Maurycy Gąbka, Malbork
Błażej Oleksa, Kwidzyn
Kaja Trznadel, Lubin
Sara Kapinos, Piekary Śląskie
pan Ksawery Kurzac, Radomsko
Jade Teixeira, Leão da Prata
Ayla Albuquerque, Camargo Paulista
Théo da Mata, Montenegro
Mariane Viana, Ramos de da Luz
Mathias da Luz, Viana das Pedras
Thomas Nascimento, Gomes da Mata
Lucas Gabriel Pastor, da Costa
Luiz Otávio Sá, Fonseca
Josué Jesus, Fogaça
Pedro Miguel Porto, Santos de Minas
Rita de Mota, Cantanhede
Henrique Pires, Viana do Castelo
Emma Gomes, Viana do Castelo
Carolina Azevedo, Caldas da Rainha
Duarte Paiva, Aveiro
Vasco Vicente, Pinhel
Beatriz Alves, Odivelas
Camila Matos, Silves
Erika Monteiro, Esmoriz
Santiago Magalhães, Pinhel
Никанор Антонович Смирнов, д. Лазаревское
Агафья Геннадиевна Тихонова, ст. Пушкин
Авдеев Аникей Жанович, с. Соликамск
Панфилов Карл Теймуразович, г. Яшалта
Артем Игоревич Якушев, д. Елец
Марфа Афанасьевна Сидорова, к. Дмитров
Андреев Леонтий Евсеевич, с. Черусти
Зайцева Ия Макаровна, клх Качканар
Таисия Руслановна Куликова, д. Усть-Катав
Давыдова Евдокия Тимуровна, с. Балашов
Damir Turk, Mežica
Tea Fras, Grosuplje
Štefan Pavlin, Kranj
Tanja Bregar, Postojna
Albert Zakrajšek, Vrhnika
Angela Perko, Vipavski Križ
Aljaž Ilić, Koper
Tina petek, Laško
Nejc Zajc, Ptuj
Jerica Zorman, Litija
Barbro Karlsson, Sandviken
Torsten Oskarsson, Göteborg
Åke Svensson Larsson, Kristianstad
Stefan Sundell, Nyköping
Marie-Louise Lundmark, Halmstad
Viktor Andersson, Lidingö
Kenneth Forsberg, Örebro
Maria Sandgren, Lidköping
Ulf Pettersson, Trelleborg
Wilhelm Holm, Södertälje
Doç. Fahrullah Ergül, East Teybetbury
Örfiye Sezer, Sezerberg
Okt. Ballı Çetin Duran, North Doğanşahchester
Almast Seven, Atagünshire
Zihni Zengin, Lake Lüfenshire
Yasemen Karadeniz Şama, North Tamaydınton
İdiris Akar, Vacibebury
Bayan Zubeyde Rumeysa Manço Durmuş, West Yücel
Çopur Yüksel, Korutürkberg
Türkalp Bilgin, Port Kefser
Азар Франко, хутір Южноукраїнськ
Ірена Бебешко, хутір Очаків
Пріска Євдокименко, село Угнів
Йосип Шахрай, хутір Каховка
Бабʼюк Маруся Миколаївна, село Жданівка
Розалія Яременко, хутір Боярка
Едита Іващенко, хутір Белз
Володимира Сірко, хутір Залізне
Михалюк Ольга Ярославівна, село Луцьк
Гаврило Якимчук, місто Сокиряни
李畅, 西宁县
吴成, 济南市
江彬, 兴安盟县
廖伟, 建平县
吴楠, 宜都县
孙英, 武汉县
胡波, 桂花市
王凯, 晶市
李瑜, 荣市
邱鑫, 通辽市
蔡文龍, 新竹縣
林宥蓁, 卑南
薛家宏, 南投縣
蕭秀美, 三重
陳淑美, 樹林市
楊淑芬, 基隆市
吳美珠, 阿里山
蕭家宏, 竹田縣
賴俊傑, 北竿市
曾麗雲, 花蓮市
